food_name,calories,protein,carbohydrates,fat
Oatmeal,150,5,27,3
Cucumber Salad,45,2,8,0.5
Steamed Broccoli,55,4,11,0.5
Watermelon,86,1.7,21,0.4
Celery Sticks,16,0.7,3,0.2
Tomato Soup,74,2,13,1.5
Zucchini Noodles,33,2.4,6,0.6
Mixed Green Salad,50,3,8,1
Apple Slices,95,0.5,25,0.3
Vegetable Broth,40,1,8,0.5
Grilled Chicken Breast,220,42,0,5
Boiled Eggs,155,13,1,11
Tuna in Water,130,28,0,1
Greek Yogurt,100,17,6,0.7
Cottage Cheese,110,14,4,5
Lentil Soup,230,18,40,1
Chickpea Salad,270,15,45,5
Tofu Stir Fry,180,20,8,9
Salmon Fillet,208,28,0,10
Turkey Breast,189,29,0,8
Brown Rice,215,5,45,2
Quinoa Bowl,222,8,39,4
Whole Wheat Pasta,220,8,43,2
Sweet Potato,130,3,30,0.1
Avocado Toast,250,6,28,14
Banana Smoothie,210,5,45,3
Vegetable Stir Fry,180,6,30,5
Lentil Dal,240,13,42,3
Chicken and Rice,350,30,38,6
Egg Omelette,200,14,2,15
Grilled Fish Tacos,310,25,30,8
Beef Stir Fry,380,32,20,18
Peanut Butter Toast,280,10,30,14
Cheese Omelette,250,16,2,18
Protein Shake,200,30,10,3
Almond Butter Banana,320,8,42,14
Whole Milk,150,8,12,8
Granola Bar,190,4,30,7
Pasta Primavera,320,10,55,7
Chicken Caesar Salad,350,28,15,20
